,0
OBJECTID_1,int64
APN,str
FLAG,str
MAIL_STREE,str
MAIL_CITY,str
SITUS_STRE,str
SITUS_CITY,str
STREET_NUM,int64
STREET_PRE,object
STREET_NAM,str
STREET_TYP,str
STREET_SUF,object
UNIT_NUMBE,str
CITY,str
ZIP_CODE,str
CLASS_CODE,str
MULTIPLE,str
SUBDIVISIO,object
ACREAGE,float64
RECORDER_M,str
BOOK,str
PAGE,str
MAP_BOOK_P,str
COUNTY_COD,object
LOT_TYPE,str
LOT,str
BLOCK,object
CAME_FROM,str
TAX_RATE_A,str
LAND,int64
STRUCTURES,int64
SHAPESTAre,float64
SHAPESTLen,float64
Shape_Leng,float64
Shape_Area,float64
DATE_ADDED,datetime64[ms]
geometry,geometry
